Caller_ID,Receiver_ID,Timestamp,Duration_Seconds,Tower_ID,Label
346,521,2026-01-01 00:02:41,3409,TWR_049,0
221,832,2026-01-01 00:10:09,1671,TWR_020,0
222,416,2026-01-01 00:16:20,2180,TWR_015,0
51,90,2026-01-01 00:24:10,2465,TWR_035,0
999,296,2026-01-01 00:38:28,51,TWR_037,0
496,257,2026-01-01 00:45:12,2301,TWR_026,0
231,127,2026-01-01 01:03:22,2467,TWR_037,0
10,17,2026-01-01 01:19:59,16,TWR_003,1
16,12,2026-01-01 01:21:21,25,TWR_003,1
702,525,2026-01-01 01:22:17,2340,TWR_027,0
288,710,2026-01-01 01:24:19,2691,TWR_021,0
633,565,2026-01-01 01:34:54,2734,TWR_004,0
440,371,2026-01-01 01:41:34,888,TWR_001,0
795,861,2026-01-01 01:41:35,1858,TWR_027,0
753,744,2026-01-01 01:44:17,3549,TWR_046,0
591,127,2026-01-01 01:46:07,1308,TWR_008,0
364,293,2026-01-01 01:46:56,2497,TWR_020,0
12,9,2026-01-01 01:51:07,13,TWR_001,1
203,659,2026-01-01 02:04:20,1756,TWR_006,0
373,326,2026-01-01 02:08:14,3177,TWR_050,0
999,411,2026-01-01 02:13:57,41,TWR_023,0
8,10,2026-01-01 02:14:38,40,TWR_001,1
800,500,2026-01-01 02:15:46,902,TWR_002,0
838,690,2026-01-01 02:18:15,434,TWR_028,0
757,822,2026-01-01 02:23:38,542,TWR_034,0
215,827,2026-01-01 02:28:47,1380,TWR_007,0
539,783,2026-01-01 02:33:20,2094,TWR_026,0
15,6,2026-01-01 02:33:23,18,TWR_003,1
819,886,2026-01-01 02:38:45,2267,TWR_047,0
15,9,2026-01-01 02:51:10,19,TWR_001,1
14,3,2026-01-01 02:53:08,14,TWR_002,1
2,16,2026-01-01 02:54:22,29,TWR_001,1
713,930,2026-01-01 02:54:26,1652,TWR_050,0
333,297,2026-01-01 03:03:29,2523,TWR_003,0
323,129,2026-01-01 03:24:45,1171,TWR_029,0
803,487,2026-01-01 03:31:41,2518,TWR_005,0
972,647,2026-01-01 03:33:09,3427,TWR_017,0
518,332,2026-01-01 03:38:30,466,TWR_038,0
12,11,2026-01-01 03:40:05,30,TWR_002,1
18,20,2026-01-01 03:46:35,36,TWR_001,1
421,967,2026-01-01 03:48:56,733,TWR_015,0
644,588,2026-01-01 03:50:21,2166,TWR_022,0
619,958,2026-01-01 03:53:46,1692,TWR_001,0
10,18,2026-01-01 03:56:32,34,TWR_002,1
144,63,2026-01-01 04:00:27,2772,TWR_030,0
758,951,2026-01-01 04:04:04,134,TWR_002,0
136,979,2026-01-01 04:07:56,628,TWR_030,0
123,343,2026-01-01 04:16:33,2049,TWR_001,0
418,707,2026-01-01 04:40:14,1832,TWR_050,0
902,255,2026-01-01 04:41:34,2039,TWR_016,0
44,809,2026-01-01 04:43:22,3446,TWR_024,0
116,887,2026-01-01 04:45:46,858,TWR_016,0
863,703,2026-01-01 04:52:13,827,TWR_018,0
225,267,2026-01-01 04:54:03,1430,TWR_032,0
637,432,2026-01-01 04:54:13,3129,TWR_026,0
829,436,2026-01-01 05:00:02,2549,TWR_033,0
653,220,2026-01-01 05:04:47,1210,TWR_049,0
367,517,2026-01-01 05:13:21,2361,TWR_038,0
30,985,2026-01-01 05:17:42,850,TWR_041,0
826,567,2026-01-01 05:17:50,2877,TWR_018,0
197,30,2026-01-01 05:28:30,2207,TWR_002,0
78,701,2026-01-01 05:49:42,2283,TWR_044,0
437,276,2026-01-01 05:50:45,3133,TWR_046,0
630,351,2026-01-01 05:54:27,1709,TWR_003,0
495,76,2026-01-01 05:56:19,1313,TWR_027,0
252,989,2026-01-01 05:58:41,1684,TWR_048,0
97,414,2026-01-01 06:00:19,3557,TWR_001,0
999,359,2026-01-01 06:02:48,36,TWR_021,0
542,297,2026-01-01 06:03:52,2644,TWR_005,0
453,989,2026-01-01 06:07:23,302,TWR_048,0
185,996,2026-01-01 06:12:51,1251,TWR_026,0
707,838,2026-01-01 06:23:54,3528,TWR_018,0
347,346,2026-01-01 06:39:37,2054,TWR_035,0
190,81,2026-01-01 06:40:42,637,TWR_036,0
294,765,2026-01-01 06:45:46,1549,TWR_007,0
415,598,2026-01-01 06:49:11,2343,TWR_006,0
168,780,2026-01-01 06:57:43,3276,TWR_048,0
578,613,2026-01-01 07:01:31,810,TWR_004,0
85,777,2026-01-01 07:01:56,1904,TWR_017,0
190,925,2026-01-01 07:09:01,2993,TWR_018,0
895,190,2026-01-01 07:14:20,3096,TWR_010,0
167,38,2026-01-01 07:19:57,2742,TWR_040,0
632,825,2026-01-01 07:21:46,56,TWR_046,0
941,113,2026-01-01 07:22:07,835,TWR_003,0
510,867,2026-01-01 07:28:39,1860,TWR_006,0
585,247,2026-01-01 07:30:16,2250,TWR_050,0
670,563,2026-01-01 07:32:39,3255,TWR_030,0
70,196,2026-01-01 07:39:34,3158,TWR_014,0
782,37,2026-01-01 07:45:50,2568,TWR_010,0
275,997,2026-01-01 07:50:55,3579,TWR_022,0
504,202,2026-01-01 07:55:03,2507,TWR_046,0
977,623,2026-01-01 07:56:30,2184,TWR_016,0
254,57,2026-01-01 08:04:20,548,TWR_036,0
609,173,2026-01-01 08:06:30,926,TWR_030,0
963,246,2026-01-01 08:07:36,893,TWR_029,0
764,29,2026-01-01 08:08:02,403,TWR_007,0
130,321,2026-01-01 08:09:58,1846,TWR_019,0
291,726,2026-01-01 08:10:22,1649,TWR_040,0
22,72,2026-01-01 08:10:35,2878,TWR_044,0
323,245,2026-01-01 08:12:17,758,TWR_002,0
166,648,2026-01-01 08:12:36,3158,TWR_016,0
757,949,2026-01-01 08:17:28,2771,TWR_026,0
158,424,2026-01-01 08:27:32,3277,TWR_014,0
255,672,2026-01-01 08:30:50,225,TWR_035,0
379,798,2026-01-01 08:31:11,181,TWR_032,0
828,345,2026-01-01 08:36:08,3312,TWR_042,0
178,355,2026-01-01 08:41:59,2236,TWR_004,0
398,980,2026-01-01 08:58:00,2252,TWR_028,0
756,590,2026-01-01 09:00:27,3433,TWR_018,0
963,55,2026-01-01 09:00:43,993,TWR_021,0
365,908,2026-01-01 09:13:04,832,TWR_026,0
535,748,2026-01-01 09:22:03,2829,TWR_026,0
259,399,2026-01-01 09:25:18,3063,TWR_048,0
407,314,2026-01-01 09:27:53,515,TWR_039,0
828,538,2026-01-01 09:35:14,292,TWR_012,0
479,179,2026-01-01 09:36:36,2087,TWR_029,0
745,135,2026-01-01 09:47:14,566,TWR_027,0
856,213,2026-01-01 10:10:19,2282,TWR_038,0
786,577,2026-01-01 10:16:32,3275,TWR_008,0
980,856,2026-01-01 10:29:41,1875,TWR_026,0
970,893,2026-01-01 10:32:13,2330,TWR_046,0
972,298,2026-01-01 10:41:05,2335,TWR_046,0
447,756,2026-01-01 10:43:46,3020,TWR_002,0
